order_date,total_order_cnt,paid_order_cnt,refund_order_cnt,paid_amount,refund_amount,net_paid_amount,last_day_paid_amount,last_day_order_cnt,last_day_refund_amount,paid_amount_diff,order_cnt_diff,refund_amount_diff,paid_amount_growth_rate,order_cnt_growth_rate,refund_amount_growth_rate,abnormal_type
2020-02-01,176,87,78,7031.0,7514.0,-483.0,,,,,,,,,,正常波动
2020-02-02,222,107,98,8508.0,12429.0,-3921.0,7031.0,176,7514.0,1477.0,46,4915.0,0.2101,0.2614,0.6541,正常波动
2020-02-03,267,136,107,11316.0,8115.0,3201.0,8508.0,222,12429.0,2808.0,45,-4314.0,0.33,0.2027,-0.3471,正常波动
2020-02-04,469,254,169,21926.74,14730.98,7195.76,11316.0,267,8115.0,10610.74,202,6615.98,0.9377,0.7566,0.8153,销售额明显上涨
2020-02-05,369,194,140,15685.0,14214.0,1471.0,21926.74,469,14730.98,-6241.74,-100,-516.98,-0.2847,-0.2132,-0.0351,正常波动
2020-02-06,144,71,58,5949.0,6131.0,-182.0,15685.0,369,14214.0,-9736.0,-225,-8083.0,-0.6207,-0.6098,-0.5687,正常波动
2020-02-07,177,95,62,7109.0,5586.0,1523.0,5949.0,144,6131.0,1160.0,33,-545.0,0.195,0.2292,-0.0889,正常波动
2020-02-09,404,266,87,22123.0,10255.0,11868.0,7109.0,177,5586.0,15014.0,227,4669.0,2.112,1.2825,0.8358,销售额明显上涨
2020-02-10,27,16,8,1010.0,433.0,577.0,22123.0,404,10255.0,-21113.0,-377,-9822.0,-0.9543,-0.9332,-0.9578,销售额明显下跌
2020-02-11,15,14,1,364.0,22.0,342.0,1010.0,27,433.0,-646.0,-12,-411.0,-0.6396,,,正常波动
2020-02-12,1,1,0,22.0,0.0,22.0,364.0,15,22.0,-342.0,-14,-22.0,,,,正常波动
2020-02-13,5,5,0,110.0,0.0,110.0,22.0,1,0.0,88.0,4,0.0,,,,正常波动
2020-02-14,7,7,0,383.0,0.0,383.0,110.0,5,0.0,273.0,2,0.0,,,,正常波动
2020-02-15,5,4,0,83.0,0.0,83.0,383.0,7,0.0,-300.0,-2,0.0,,,,正常波动
2020-02-17,390,267,78,23303.83,6354.63,16949.2,83.0,5,0.0,23220.83,385,6354.63,,,,正常波动
2020-02-18,1015,658,187,67310.74,15711.62,51599.12,23303.83,390,6354.63,44006.91,625,9356.99,1.8884,1.6026,1.4725,销售额明显上涨
2020-02-19,1025,700,186,59366.34,19161.5,40204.84,67310.74,1015,15711.62,-7944.4,10,3449.88,-0.118,0.0099,0.2196,正常波动
2020-02-20,1345,935,235,99022.3,24673.4,74348.9,59366.34,1025,19161.5,39655.96,320,5511.9,0.668,0.3122,0.2877,销售额明显上涨
2020-02-21,2068,1446,359,151429.74,37670.76,113758.98,99022.3,1345,24673.4,52407.44,723,12997.36,0.5292,0.5375,0.5268,销售额明显上涨
2020-02-22,2027,1428,341,131932.79,39819.31,92113.48,151429.74,2068,37670.76,-19496.95,-41,2148.55,-0.1288,-0.0198,0.057,正常波动
2020-02-23,2200,1577,366,153837.4,35496.4,118341.0,131932.79,2027,39819.31,21904.61,173,-4322.91,0.166,0.0853,-0.1086,正常波动
2020-02-24,1998,1349,380,144450.33,42391.87,102058.46,153837.4,2200,35496.4,-9387.07,-202,6895.47,-0.061,-0.0918,0.1943,正常波动
2020-02-25,3416,2283,749,230010.2,70840.0,159170.2,144450.33,1998,42391.87,85559.87,1418,28448.13,0.5923,0.7097,0.6711,销售额明显上涨
2020-02-26,2849,1919,566,204443.7,61006.9,143436.8,230010.2,3416,70840.0,-25566.5,-567,-9833.1,-0.1112,-0.166,-0.1388,正常波动
2020-02-27,2586,1799,472,186195.4,45632.25,140563.15,204443.7,2849,61006.9,-18248.3,-263,-15374.65,-0.0893,-0.0923,-0.252,正常波动
2020-02-28,2691,1873,535,191810.34,54181.2,137629.14,186195.4,2586,45632.25,5614.94,105,8548.95,0.0302,0.0406,0.1873,正常波动
2020-02-29,2112,1464,384,157754.3,39966.1,117788.2,191810.34,2691,54181.2,-34056.04,-579,-14215.1,-0.1776,-0.2152,-0.2624,正常波动
