order_id,total_amount,pay_amount,province,order_create_time,pay_time,refund_amount,order_date,order_status
1,178.8,0.0,上海,2020-02-21 00:00:00,,0.0,2020-02-21,未支付订单
2,21.0,21.0,内蒙古自治区,2020-02-20 23:59:54,2020-02-21 00:00:02,0.0,2020-02-20,已支付订单
3,37.0,0.0,安徽省,2020-02-20 23:59:35,,0.0,2020-02-20,未支付订单
4,157.0,157.0,湖南省,2020-02-20 23:58:34,2020-02-20 23:58:44,0.0,2020-02-20,已支付订单
5,64.8,0.0,江苏省,2020-02-20 23:57:04,2020-02-20 23:57:11,64.8,2020-02-20,退款订单
6,327.7,148.9,浙江省,2020-02-20 23:56:39,2020-02-20 23:56:53,178.8,2020-02-20,退款订单
7,357.0,357.0,天津,2020-02-20 23:56:36,2020-02-20 23:56:40,0.0,2020-02-20,已支付订单
8,53.0,53.0,浙江省,2020-02-20 23:56:12,2020-02-20 23:56:16,0.0,2020-02-20,已支付订单
9,43.0,0.0,湖南省,2020-02-20 23:54:53,2020-02-20 23:55:04,43.0,2020-02-20,退款订单
10,421.0,421.0,北京,2020-02-20 23:54:28,2020-02-20 23:54:33,0.0,2020-02-20,已支付订单
11,267.9,0.0,北京,2020-02-20 23:54:24,2020-02-20 23:54:31,267.9,2020-02-20,退款订单
12,37.0,37.0,四川省,2020-02-20 23:54:24,2020-02-20 23:54:31,0.0,2020-02-20,已支付订单
13,53.0,53.0,上海,2020-02-20 23:53:50,2020-02-20 23:57:09,0.0,2020-02-20,已支付订单
14,34.9,0.0,天津,2020-02-20 23:53:44,,0.0,2020-02-20,未支付订单
15,96.8,0.0,贵州省,2020-02-20 23:51:37,,0.0,2020-02-20,未支付订单
16,80.8,80.8,天津,2020-02-20 23:51:29,2020-02-20 23:51:35,0.0,2020-02-20,已支付订单
17,37.0,37.0,辽宁省,2020-02-20 23:51:22,2020-02-20 23:51:30,0.0,2020-02-20,已支付订单
18,119.0,119.0,上海,2020-02-20 23:50:55,2020-02-20 23:51:12,0.0,2020-02-20,已支付订单
19,37.0,37.0,浙江省,2020-02-20 23:50:48,2020-02-20 23:51:00,0.0,2020-02-20,已支付订单
20,238.0,238.0,上海,2020-02-20 23:50:08,2020-02-20 23:50:17,0.0,2020-02-20,已支付订单
21,34.9,34.9,上海,2020-02-20 23:50:06,2020-02-20 23:50:12,0.0,2020-02-20,已支付订单
22,85.0,85.0,河南省,2020-02-20 23:50:05,2020-02-20 23:50:28,0.0,2020-02-20,已支付订单
23,21.0,0.0,广西壮族自治区,2020-02-20 23:49:58,2020-02-20 23:50:00,21.0,2020-02-20,退款订单
24,69.0,69.0,江苏省,2020-02-20 23:49:58,2020-02-20 23:50:05,0.0,2020-02-20,已支付订单
25,329.8,329.8,天津,2020-02-20 23:49:04,2020-02-20 23:49:13,0.0,2020-02-20,已支付订单
26,43.0,43.0,广东省,2020-02-20 23:48:54,2020-02-20 23:49:12,0.0,2020-02-20,已支付订单
27,37.0,37.0,福建省,2020-02-20 23:48:17,2020-02-20 23:48:24,0.0,2020-02-20,已支付订单
28,64.8,64.8,上海,2020-02-20 23:47:54,2020-02-20 23:48:06,0.0,2020-02-20,已支付订单
29,53.0,0.0,辽宁省,2020-02-20 23:47:31,2020-02-20 23:47:39,53.0,2020-02-20,退款订单
30,37.0,37.0,天津,2020-02-20 23:47:21,2020-02-20 23:47:40,0.0,2020-02-20,已支付订单
31,37.0,37.0,上海,2020-02-20 23:47:19,2020-02-21 08:36:18,0.0,2020-02-20,已支付订单
32,37.0,37.0,河南省,2020-02-20 23:46:43,2020-02-20 23:49:05,0.0,2020-02-20,已支付订单
33,66.9,0.0,广东省,2020-02-20 23:46:23,2020-02-20 23:46:31,66.9,2020-02-20,退款订单
34,119.0,119.0,北京,2020-02-20 23:46:10,2020-02-20 23:46:15,0.0,2020-02-20,已支付订单
35,102.0,64.0,海南省,2020-02-20 23:45:41,2020-02-20 23:45:45,38.0,2020-02-20,退款订单
36,233.0,233.0,四川省,2020-02-20 23:44:25,2020-02-20 23:44:30,0.0,2020-02-20,已支付订单
37,389.0,389.0,广东省,2020-02-20 23:44:03,2020-02-20 23:44:21,0.0,2020-02-20,已支付订单
38,37.0,0.0,广东省,2020-02-20 23:43:56,,0.0,2020-02-20,未支付订单
39,50.9,50.9,江苏省,2020-02-20 23:43:35,2020-02-20 23:51:41,0.0,2020-02-20,已支付订单
40,139.0,0.0,江西省,2020-02-20 23:43:00,,0.0,2020-02-20,未支付订单
41,357.0,0.0,北京,2020-02-20 23:42:56,,0.0,2020-02-20,未支付订单
42,238.0,238.0,四川省,2020-02-20 23:39:47,2020-02-21 00:01:03,0.0,2020-02-20,已支付订单
43,69.0,0.0,甘肃省,2020-02-20 23:38:41,2020-02-20 23:38:56,69.0,2020-02-20,退款订单
44,37.0,0.0,贵州省,2020-02-20 23:38:23,2020-02-20 23:38:33,37.0,2020-02-20,退款订单
45,302.0,302.0,北京,2020-02-20 23:38:22,2020-02-20 23:39:09,0.0,2020-02-20,已支付订单
46,114.0,114.0,江苏省,2020-02-20 23:38:19,2020-02-20 23:38:24,0.0,2020-02-20,已支付订单
47,212.9,212.9,浙江省,2020-02-20 23:37:32,2020-02-20 23:37:38,0.0,2020-02-20,已支付订单
48,247.0,247.0,北京,2020-02-20 23:35:26,2020-02-20 23:35:58,0.0,2020-02-20,已支付订单
49,119.0,119.0,江苏省,2020-02-20 23:35:03,2020-02-20 23:35:07,0.0,2020-02-20,已支付订单
50,119.0,119.0,天津,2020-02-20 23:35:03,2020-02-20 23:35:15,0.0,2020-02-20,已支付订单
51,69.0,69.0,河北省,2020-02-20 23:34:58,2020-02-20 23:35:57,0.0,2020-02-20,已支付订单
52,64.8,64.8,河北省,2020-02-20 23:33:56,2020-02-20 23:34:00,0.0,2020-02-20,已支付订单
53,98.9,0.0,海南省,2020-02-20 23:33:55,2020-02-20 23:33:59,98.9,2020-02-20,退款订单
54,34.9,34.9,黑龙江省,2020-02-20 23:32:49,2020-02-20 23:32:54,0.0,2020-02-20,已支付订单
55,101.0,101.0,广东省,2020-02-20 23:32:09,2020-02-20 23:32:24,0.0,2020-02-20,已支付订单
56,53.0,53.0,上海,2020-02-20 23:31:50,2020-02-20 23:32:23,0.0,2020-02-20,已支付订单
57,119.0,0.0,云南省,2020-02-20 23:31:34,,0.0,2020-02-20,未支付订单
58,119.0,0.0,重庆,2020-02-20 23:30:59,2020-02-20 23:31:11,119.0,2020-02-20,退款订单
59,37.0,37.0,北京,2020-02-20 23:30:53,2020-02-20 23:33:46,0.0,2020-02-20,已支付订单
60,37.0,37.0,北京,2020-02-20 23:30:46,2020-02-20 23:30:55,0.0,2020-02-20,已支付订单
61,69.0,69.0,广东省,2020-02-20 23:30:33,2020-02-20 23:30:50,0.0,2020-02-20,已支付订单
62,119.0,119.0,广东省,2020-02-20 23:29:33,2020-02-20 23:29:55,0.0,2020-02-20,已支付订单
63,37.0,0.0,重庆,2020-02-20 23:28:55,,0.0,2020-02-20,未支付订单
64,259.0,0.0,天津,2020-02-20 23:28:51,,0.0,2020-02-20,未支付订单
65,210.8,210.8,湖南省,2020-02-20 23:28:39,2020-02-20 23:28:51,0.0,2020-02-20,已支付订单
66,183.0,183.0,山西省,2020-02-20 23:28:37,2020-02-20 23:28:53,0.0,2020-02-20,已支付订单
67,151.0,151.0,北京,2020-02-20 23:28:34,2020-02-20 23:28:37,0.0,2020-02-20,已支付订单
68,64.0,0.0,重庆,2020-02-20 23:28:01,2020-02-21 15:19:57,64.0,2020-02-20,退款订单
69,119.0,0.0,黑龙江省,2020-02-20 23:28:01,2020-02-20 23:28:08,119.0,2020-02-20,退款订单
70,270.0,270.0,广东省,2020-02-20 23:27:31,2020-02-20 23:27:52,0.0,2020-02-20,已支付订单
71,53.0,53.0,甘肃省,2020-02-20 23:27:29,2020-02-20 23:27:33,0.0,2020-02-20,已支付订单
72,101.0,0.0,广东省,2020-02-20 23:27:05,2020-02-20 23:27:14,101.0,2020-02-20,退款订单
73,53.0,53.0,浙江省,2020-02-20 23:26:24,2020-02-20 23:26:36,0.0,2020-02-20,已支付订单
