order_date,total_order_cnt,paid_order_cnt,refund_order_cnt,total_gmv,paid_amount,refund_amount,net_paid_amount,avg_order_value,pay_order_rate,refund_order_rate
2020-02-01,176,87,78,16673.0,7031.0,7514.0,-483.0,80.82,0.4943,0.4432
2020-02-02,222,107,98,23919.0,8508.0,12429.0,-3921.0,79.51,0.482,0.4414
2020-02-03,267,136,107,22357.0,11316.0,8115.0,3201.0,83.21,0.5094,0.4007
2020-02-04,469,254,169,40841.89,21926.74,14730.98,7195.76,86.33,0.5416,0.3603
2020-02-05,369,194,140,33205.0,15685.0,14214.0,1471.0,80.85,0.5257,0.3794
2020-02-06,144,71,58,14170.0,5949.0,6131.0,-182.0,83.79,0.4931,0.4028
2020-02-07,177,95,62,14585.0,7109.0,5586.0,1523.0,74.83,0.5367,0.3503
2020-02-09,404,266,87,38632.0,22123.0,10255.0,11868.0,83.17,0.6584,0.2153
2020-02-10,27,16,8,4369.0,1010.0,433.0,577.0,63.13,0.5926,0.2963
2020-02-11,15,14,1,386.0,364.0,22.0,342.0,26.0,0.9333,0.0667
2020-02-12,1,1,0,22.0,22.0,0.0,22.0,22.0,1.0,0.0
2020-02-13,5,5,0,110.0,110.0,0.0,110.0,22.0,1.0,0.0
2020-02-14,7,7,0,383.0,383.0,0.0,383.0,54.71,1.0,0.0
2020-02-15,5,4,0,103.0,83.0,0.0,83.0,20.75,0.8,0.0
2020-02-17,390,267,78,32742.7,23303.83,6354.63,16949.2,87.28,0.6846,0.2
2020-02-18,1015,658,187,95230.53,67310.74,15711.62,51599.12,102.3,0.6483,0.1842
2020-02-19,1025,700,186,88423.2,59366.34,19161.5,40204.84,84.81,0.6829,0.1815
2020-02-20,1345,935,235,141271.8,99022.3,24673.4,74348.9,105.91,0.6952,0.1747
2020-02-21,2068,1446,359,214044.1,151429.74,37670.76,113758.98,104.72,0.6992,0.1736
2020-02-22,2027,1428,341,195092.4,131932.79,39819.31,92113.48,92.39,0.7045,0.1682
2020-02-23,2200,1577,366,214512.5,153837.4,35496.4,118341.0,97.55,0.7168,0.1664
2020-02-24,1998,1349,380,398538.0,144450.33,42391.87,102058.46,107.08,0.6752,0.1902
2020-02-25,3416,2283,749,338586.4,230010.2,70840.0,159170.2,100.75,0.6683,0.2193
2020-02-26,2849,1919,566,302604.6,204443.7,61006.9,143436.8,106.54,0.6736,0.1987
2020-02-27,2586,1799,472,265539.75,186195.4,45632.25,140563.15,103.5,0.6957,0.1825
2020-02-28,2691,1873,535,271343.74,191810.34,54181.2,137629.14,102.41,0.696,0.1988
2020-02-29,2112,1464,384,228075.0,157754.3,39966.1,117788.2,107.76,0.6932,0.1818
