province,total_order_cnt,paid_order_cnt,refund_order_cnt,total_gmv,paid_amount,refund_amount,net_paid_amount,avg_order_value,refund_order_rate
上海,3353,2470,647,544907.63,264039.78,62418.01,201621.77,106.9,0.193
北京,2054,1489,396,231055.49,166448.48,45941.36,120507.12,111.79,0.1928
江苏省,2126,1459,426,227930.93,159359.18,43011.34,116347.84,109.22,0.2004
广东省,2463,1585,482,227855.28,147822.9,45588.7,102234.2,93.26,0.1957
浙江省,2061,1438,428,203126.96,141664.8,43234.8,98430.0,98.52,0.2077
四川省,2019,1380,408,188948.12,127648.15,40299.76,87348.39,92.5,0.2021
山东省,1804,1145,380,175046.13,103917.26,45415.21,58502.05,90.76,0.2106
天津,1153,838,209,124564.24,89990.06,22761.08,67228.98,107.39,0.1813
辽宁省,1187,812,225,107355.93,74692.05,18860.4,55831.65,91.99,0.1896
重庆,1036,691,221,108975.65,71514.65,21753.0,49761.65,103.49,0.2133
湖南省,1099,747,207,102929.22,70268.68,19069.58,51199.1,94.07,0.1884
河北省,1083,686,229,106561.56,64374.92,21847.82,42527.1,93.84,0.2114
河南省,966,607,201,90619.72,56354.03,22497.49,33856.54,92.84,0.2081
云南省,778,528,158,75769.32,53633.84,13687.14,39946.7,101.58,0.2031
陕西省,536,359,87,59450.93,40484.23,10395.6,30088.63,112.77,0.1623
安徽省,609,392,151,61378.67,37710.06,15189.61,22520.45,96.2,0.2479
山西省,465,317,81,46568.8,32515.4,8338.4,24177.0,102.57,0.1742
内蒙古自治区,215,136,42,36827.0,28863.3,5206.3,23657.0,212.23,0.1953
吉林省,401,260,88,42040.92,26723.66,10418.9,16304.76,102.78,0.2195
广西壮族自治区,436,278,78,35140.1,23986.69,6036.4,17950.29,86.28,0.1789
福建省,489,315,118,37075.53,23563.27,9722.6,13840.67,74.8,0.2413
江西省,411,256,86,36791.65,23145.05,8282.2,14862.85,90.41,0.2092
贵州省,345,228,61,32274.16,21879.56,6006.4,15873.16,95.96,0.1768
黑龙江省,379,231,87,35058.29,21292.19,8650.4,12641.79,92.17,0.2296
海南省,178,119,42,16828.18,11462.58,3552.8,7909.78,96.32,0.236
甘肃省,167,108,25,14294.76,9095.96,2585.9,6510.06,84.22,0.1497
宁夏回族自治区,42,32,10,4804.92,3716.42,1030.5,2685.92,116.14,0.2381
新疆维吾尔自治区,58,16,27,10112.9,2768.0,4425.2,-1657.2,173.0,0.4655
湖北省,75,18,41,8581.7,1827.8,5201.3,-3373.5,101.54,0.5467
青海省,19,15,3,2396.2,1724.2,613.0,1111.2,114.95,0.1579
西藏自治区,3,0,2,489.72,0.0,294.72,-294.72,,0.6667
